group,n,dev_mean,dev_std,test_mean,test_std,gap_mean,abs_gap_mean
experiments/EXP-010-optimization/results/A_baseline,3,87.0961,0.1572,85.8589,0.1990,1.2372,1.2372
experiments/EXP-010-optimization/results/B_fgm,3,87.2357,0.3783,86.0913,0.0525,1.1444,1.1444
experiments/EXP-010-optimization/results/C_fgm_ema,3,86.9443,0.3008,85.9019,0.4261,1.0423,1.0423
experiments/EXP-010-optimization/results/H_bs_baseline,3,87.4427,0.2513,86.7177,0.0818,0.7249,0.7249
experiments/EXP-010-optimization/results/I_bs_fgm,3,87.2126,0.3278,86.2784,0.2494,0.9342,0.9342
experiments/EXP-010-optimization/results/J_bs_fgm_ema,3,87.1529,0.1308,86.3896,0.1505,0.7633,0.7633
experiments/EXP-010-optimization/results/K_bs_fgm_ema_aug,1,86.2280,0.0000,83.7879,0.0000,2.4401,2.4401
experiments/EXP-010-optimization/results/M_bs_sbsize3,3,87.5778,0.1150,86.4365,0.2200,1.1413,1.1413
experiments/EXP-010-optimization/results/N_bs_minfreq1,3,86.8911,0.2772,85.0477,0.4493,1.8434,1.8434
experiments/EXP-010-optimization/results/O_bs_sbsize3_minfreq1,3,86.8351,0.1230,85.0986,0.2744,1.7365,1.7365
experiments/EXP-010-optimization/results/P_bs_bmes_aux,3,87.6573,0.2435,86.6060,0.1918,1.0513,1.0513
experiments/EXP-010-optimization/results/Q_bs_focal,3,87.6539,0.1803,86.7974,0.4467,0.8565,0.8565
experiments/EXP-010-optimization/results/Q_bs_focal_minfreq1_seed42,1,83.2195,0.0000,84.0015,0.0000,-0.7820,0.7820
experiments/EXP-010-optimization/results/Q_bs_focal_minfreq3_seed42,1,86.2688,0.0000,88.1018,0.0000,-1.8330,1.8330
experiments/EXP-010-optimization/results/Q_bs_focal_minfreq4_seed42,1,85.9024,0.0000,87.2647,0.0000,-1.3622,1.3622
experiments/EXP-010-optimization/results/R_bs_bmes_focal,3,87.1314,0.1371,86.3948,0.0920,0.7367,0.7367
experiments/EXP-010-optimization/results/S_bs_srg,3,87.5463,0.1813,86.3049,0.6977,1.2414,1.2414
experiments/EXP-010-optimization/results/T_bs_full,3,87.4323,0.2056,86.5094,0.2338,0.9229,0.9229
experiments/EXP-010-optimization/results/U_bs_adaptive_sbsize,3,87.3948,0.1785,86.7137,0.1181,0.6811,0.6811
experiments/EXP-010-optimization/results/V_bs_adaptive_bmes_focal,3,87.4325,0.3305,86.4731,0.2892,0.9594,0.9594
experiments/EXP-010-optimization/results/W_enhanced_size_emb,3,87.5964,0.1320,86.3640,0.6110,1.2324,1.2324
experiments/EXP-010-optimization/results/X_enhanced_size_focal,3,87.9051,0.0655,86.4513,0.1382,1.4537,1.4537
experiments/EXP-010-optimization/results/Y_size_focal_spanwidth,3,87.3135,0.1841,86.5395,0.1887,0.7740,0.7740
experiments/EXP-010-optimization/results/Z_full_long_entity_opt,3,86.1576,0.3496,88.2023,0.3265,-2.0447,2.0447
experiments/EXP-010-optimization/results/Z_old_full_long_entity_opt,3,87.6168,0.0600,86.6659,0.4390,0.9509,0.9509
experiments/EXP-010-optimization/results_newdata/A_baseline,3,85.3051,0.5239,86.7104,0.3461,-1.4053,1.4053
experiments/EXP-010-optimization/results_newdata/BS_focal_nodict,3,85.0647,0.2072,86.5770,0.1593,-1.5123,1.5123
experiments/EXP-010-optimization/results_newdata/BS_nodict,3,85.4590,0.2192,86.6766,0.1043,-1.2176,1.2176
experiments/EXP-010-optimization/results_newdata/CRF_nodict,3,84.2771,0.1760,85.5698,0.2901,-1.2926,1.2926
experiments/EXP-010-optimization/results_newdata/CRF_nodict_bertwwm,3,84.6240,0.1793,85.4801,0.2465,-0.8560,0.8560
experiments/EXP-010-optimization/results_newdata/G_bilstm_baseline,3,78.0775,0.3298,78.6859,0.3355,-0.6084,0.6084
experiments/EXP-010-optimization/results_newdata/G_bilstm_baseline_50ep_backup,1,76.2168,0.0000,76.0150,0.0000,0.2018,0.2018
experiments/EXP-010-optimization/results_newdata/H_bs_baseline,3,86.1832,0.2532,87.6675,0.1293,-1.4843,1.4843
experiments/EXP-010-optimization/results_newdata/Q_bs_ce_attnv1_s42,1,86.2720,0.0000,87.9026,0.0000,-1.6306,1.6306
experiments/EXP-010-optimization/results_newdata/Q_bs_ce_attnv1_s43,1,86.2018,0.0000,87.7555,0.0000,-1.5537,1.5537
experiments/EXP-010-optimization/results_newdata/Q_bs_ce_attnv1_s44,1,86.6569,0.0000,88.3642,0.0000,-1.7074,1.7074
experiments/EXP-010-optimization/results_newdata/Q_bs_focal,3,86.1298,0.1893,88.2841,0.2183,-2.1543,2.1543
experiments/EXP-010-optimization/results_newdata/Q_bs_focal_attnv1_s42,1,85.7977,0.0000,88.7319,0.0000,-2.9342,2.9342
experiments/EXP-010-optimization/results_newdata/Q_bs_focal_attnv1_s43,1,85.6075,0.0000,88.1054,0.0000,-2.4979,2.4979
experiments/EXP-010-optimization/results_newdata/Q_bs_focal_attnv1_s43_diag,1,86.1054,0.0000,88.2789,0.0000,-2.1736,2.1736
experiments/EXP-010-optimization/results_newdata/Q_bs_focal_attnv1_s44,1,85.9642,0.0000,88.3044,0.0000,-2.3402,2.3402
experiments/EXP-010-optimization/results_newdata/Q_bs_focal_attnv2_bmesaux_s42,1,86.0664,0.0000,88.3340,0.0000,-2.2675,2.2675
experiments/EXP-010-optimization/results_newdata/Q_bs_focal_attnv2_s42,1,85.7202,0.0000,88.2692,0.0000,-2.5490,2.5490
experiments/EXP-010-optimization/results_newdata/Q_bs_focal_attnv2_s43,1,85.7024,0.0000,88.2057,0.0000,-2.5033,2.5033
experiments/EXP-010-optimization/results_newdata/Q_bs_focal_attnv2_s44,1,85.8269,0.0000,88.2823,0.0000,-2.4553,2.4553
experiments/EXP-010-optimization/results_newdata/Q_full_v2_s42,1,85.5777,0.0000,87.7767,0.0000,-2.1990,2.1990
