dataset,min_freq,type,gold,tp,match_recall
redjujube,1,AGR,3061,3057,0.9986932375040837
redjujube,1,CUL,2461,2461,1.0
redjujube,1,DIS,1015,1015,1.0
redjujube,1,DRU,866,755,0.871824480369515
redjujube,1,EQU,1520,1496,0.9842105263157894
redjujube,1,FER,232,224,0.9655172413793104
redjujube,1,LOC,1488,1392,0.9354838709677419
redjujube,1,NUT,426,426,1.0
redjujube,1,PAR,6017,6017,1.0
redjujube,1,PER,1766,1766,1.0
redjujube,1,PES,371,371,1.0
redjujube,1,PRO,833,833,1.0
redjujube,1,TAX,87,87,1.0
redjujube,1,WED,192,192,1.0
redjujube,2,AGR,3061,2621,0.8562561254491996
redjujube,2,CUL,2461,1638,0.6655830963023162
redjujube,2,DIS,1015,813,0.8009852216748768
redjujube,2,DRU,866,449,0.5184757505773672
redjujube,2,EQU,1520,1164,0.7657894736842106
redjujube,2,FER,232,178,0.7672413793103449
redjujube,2,LOC,1488,753,0.5060483870967742
redjujube,2,NUT,426,386,0.9061032863849765
redjujube,2,PAR,6017,5885,0.9780621572212066
redjujube,2,PER,1766,1703,0.964326160815402
redjujube,2,PES,371,302,0.8140161725067385
redjujube,2,PRO,833,722,0.8667466986794717
redjujube,2,TAX,87,44,0.5057471264367817
redjujube,2,WED,192,124,0.6458333333333334
redjujube,3,AGR,3061,2363,0.7719699444625939
redjujube,3,CUL,2461,1423,0.5782202356765542
redjujube,3,DIS,1015,732,0.7211822660098522
redjujube,3,DRU,866,222,0.25635103926096997
redjujube,3,EQU,1520,981,0.6453947368421052
redjujube,3,FER,232,161,0.6939655172413793
redjujube,3,LOC,1488,526,0.353494623655914
redjujube,3,NUT,426,370,0.8685446009389671
redjujube,3,PAR,6017,5815,0.9664284527173009
redjujube,3,PER,1766,1641,0.9292185730464326
redjujube,3,PES,371,261,0.7035040431266847
redjujube,3,PRO,833,696,0.8355342136854742
redjujube,3,TAX,87,34,0.39080459770114945
redjujube,3,WED,192,87,0.453125
