dataset,min_freq,bucket,total_instances,covered_instances,covered_rate,match_precision,match_recall,match_f1
redjujube,1,1字,1170,1170,1.0,0.08038474750944692,1.0,0.14880763116057233
redjujube,1,2字,11125,11125,1.0,0.5640050697084917,1.0,0.7212317666126418
redjujube,1,3字,3593,3593,1.0,0.7200400801603206,1.0,0.8372363975300011
redjujube,1,4-5字,3355,3355,1.0,0.8655830753353974,1.0,0.9279491080071912
redjujube,1,6字+,1092,1092,1.0,0.8601823708206687,0.7774725274725275,0.8167388167388167
redjujube,2,1字,1170,1155,0.9871794871794872,0.08409785932721713,0.9871794871794872,0.15499194847020936
redjujube,2,2字,11125,10405,0.9352808988764045,0.6104429451452039,0.9352808988764045,0.7387291444799432
redjujube,2,3字,3593,2825,0.7862510436960757,0.7326244813278008,0.7862510436960757,0.7584910726271983
redjujube,2,4-5字,3355,2058,0.6134128166915053,0.8828828828828829,0.6134128166915053,0.7238832219486458
redjujube,2,6字+,1092,417,0.38186813186813184,0.8248175182481752,0.31043956043956045,0.4510978043912176
redjujube,3,1字,1170,1135,0.9700854700854701,0.0847267841146611,0.9700854700854701,0.1558423726486338
redjujube,3,2字,11125,9991,0.8980674157303371,0.6334242059215115,0.8980674157303371,0.742880511562198
redjujube,3,3字,3593,2399,0.6676871694962427,0.7647433854000637,0.6676871694962427,0.712927191679049
redjujube,3,4-5字,3355,1602,0.47749627421758567,0.898989898989899,0.47749627421758567,0.6237103367724353
redjujube,3,6字+,1092,223,0.2042124542124542,0.8295964125560538,0.16941391941391942,0.2813688212927757
